node1,node2,tstart,tend,line
Walthamstow Central,Blackhorse Road,860,862,Victoria line to Blackhorse Road
Blackhorse Road,Tottenham Hale,862,864,Victoria line to Tottenham Hale
Tottenham Hale,Seven Sisters,864,866,Victoria line to Seven Sisters
Seven Sisters,Finsbury Park,867,870,Victoria line to Finsbury Park
Finsbury Park,Highbury & Islington,870,872,Victoria line to Highbury & Islington
Highbury & Islington,King's Cross St. Pancras,872,875,Victoria line to King's Cross St.Pancras
King's Cross St. Pancras,Euston,875,876,Victoria line or Northern line to Euston
Euston,Warren Street,877,878,Northern line or Victoria line to Warren Street
Warren Street,Oxford Circus,878,879,Victoria line to Oxford Circus
Oxford Circus,Green Park,880,881,Victoria line to Green Park
Green Park,Victoria,882,883,Victoria line to Victoria
Victoria,Pimlico,884,885,Victoria line to Pimlico
Pimlico,Vauxhall,886,887,Victoria line to Vauxhall
Vauxhall,Stockwell,887,889,Victoria line to Stockwell
Stockwell,Brixton,889,891,Victoria line to Brixton
Walthamstow Central,Blackhorse Road,865,866,Victoria line to Blackhorse Road
Blackhorse Road,Tottenham Hale,867,868,Victoria line to Tottenham Hale
Tottenham Hale,Seven Sisters,869,870,Victoria line to Seven Sisters
Seven Sisters,Finsbury Park,871,874,Victoria line to Finsbury Park
Finsbury Park,Highbury & Islington,875,876,Victoria line to Highbury & Islington
Highbury & Islington,King's Cross St. Pancras,877,879,Victoria line to King's Cross St.Pancras
King's Cross St. Pancras,Euston,880,881,Northern line or Victoria line to Euston
Euston,Warren Street,881,882,Victoria line or Northern line to Warren Street
Warren Street,Oxford Circus,883,884,Victoria line to Oxford Circus
Oxford Circus,Green Park,884,886,Victoria line to Green Park
Green Park,Victoria,886,888,Victoria line to Victoria
Victoria,Pimlico,888,890,Victoria line to Pimlico
Pimlico,Vauxhall,890,891,Victoria line to Vauxhall
Vauxhall,Stockwell,892,893,Victoria line to Stockwell
Stockwell,Brixton,894,896,Victoria line to Brixton
Walthamstow Central,Blackhorse Road,871,873,Victoria line to Blackhorse Road
Blackhorse Road,Tottenham Hale,874,875,Victoria line to Tottenham Hale
Tottenham Hale,Seven Sisters,875,877,Victoria line to Seven Sisters
Seven Sisters,Finsbury Park,878,881,Victoria line to Finsbury Park
Finsbury Park,Highbury & Islington,881,883,Victoria line to Highbury & Islington
Highbury & Islington,King's Cross St. Pancras,884,886,Victoria line to King's Cross St.Pancras
King's Cross St. Pancras,Euston,886,887,Northern line or Victoria line to Euston
Euston,Warren Street,888,889,Victoria line or Northern line to Warren Street
Warren Street,Oxford Circus,890,891,Victoria line to Oxford Circus
Oxford Circus,Green Park,891,893,Victoria line to Green Park
Green Park,Victoria,893,894,Victoria line to Victoria
Victoria,Pimlico,895,896,Victoria line to Pimlico
Pimlico,Vauxhall,897,898,Victoria line to Vauxhall
Vauxhall,Stockwell,898,900,Victoria line to Stockwell
Stockwell,Brixton,901,902,Victoria line to Brixton
Walthamstow Central,Blackhorse Road,876,878,Victoria line to Blackhorse Road
Blackhorse Road,Tottenham Hale,878,880,Victoria line to Tottenham Hale
Tottenham Hale,Seven Sisters,880,881,Victoria line to Seven Sisters
Seven Sisters,Finsbury Park,883,885,Victoria line to Finsbury Park
Finsbury Park,Highbury & Islington,886,888,Victoria line to Highbury & Islington
Highbury & Islington,King's Cross St. Pancras,888,891,Victoria line to King's Cross St.Pancras
King's Cross St. Pancras,Euston,891,892,Victoria line or Northern line to Euston
Euston,Warren Street,892,893,Northern line or Victoria line to Warren Street
Warren Street,Oxford Circus,894,895,Victoria line to Oxford Circus
Oxford Circus,Green Park,896,897,Victoria line to Green Park
Green Park,Victoria,898,899,Victoria line to Victoria
Victoria,Pimlico,900,901,Victoria line to Pimlico
Pimlico,Vauxhall,901,902,Victoria line to Vauxhall
Vauxhall,Stockwell,903,905,Victoria line to Stockwell
Stockwell,Brixton,905,907,Victoria line to Brixton
Walthamstow Central,Blackhorse Road,880,882,Victoria line to Blackhorse Road
Blackhorse Road,Tottenham Hale,883,884,Victoria line to Tottenham Hale
Tottenham Hale,Seven Sisters,884,886,Victoria line to Seven Sisters
Seven Sisters,Finsbury Park,887,890,Victoria line to Finsbury Park
Finsbury Park,Highbury & Islington,890,892,Victoria line to Highbury & Islington
Highbury & Islington,King's Cross St. Pancras,893,895,Victoria line to King's Cross St.Pancras
King's Cross St. Pancras,Euston,895,896,Northern line or Victoria line to Euston
Euston,Warren Street,897,898,Victoria line or Northern line to Warren Street
Warren Street,Oxford Circus,899,900,Victoria line to Oxford Circus
Oxford Circus,Green Park,900,902,Victoria line to Green Park
Green Park,Victoria,902,903,Victoria line to Victoria
Victoria,Pimlico,904,905,Victoria line to Pimlico
Pimlico,Vauxhall,906,907,Victoria line to Vauxhall
Vauxhall,Stockwell,907,909,Victoria line to Stockwell
Stockwell,Brixton,910,911,Victoria line to Brixton
Walthamstow Central,Blackhorse Road,885,887,Victoria line to Blackhorse Road
Blackhorse Road,Tottenham Hale,887,889,Victoria line to Tottenham Hale
Tottenham Hale,Seven Sisters,889,890,Victoria line to Seven Sisters
Seven Sisters,Finsbury Park,892,894,Victoria line to Finsbury Park
Finsbury Park,Highbury & Islington,895,897,Victoria line to Highbury & Islington
Highbury & Islington,King's Cross St. Pancras,897,900,Victoria line to King's Cross St.Pancras
King's Cross St. Pancras,Euston,900,901,Victoria line or Northern line to Euston
Euston,Warren Street,901,902,Northern line or Victoria line to Warren Street
Warren Street,Oxford Circus,903,904,Victoria line to Oxford Circus
Oxford Circus,Green Park,905,906,Victoria line to Green Park
Green Park,Victoria,907,908,Victoria line to Victoria
Victoria,Pimlico,909,910,Victoria line to Pimlico
Pimlico,Vauxhall,910,911,Victoria line to Vauxhall
Vauxhall,Stockwell,912,914,Victoria line to Stockwell
Stockwell,Brixton,914,916,Victoria line to Brixton
Walthamstow Central,Blackhorse Road,892,893,Victoria line to Blackhorse Road
Blackhorse Road,Tottenham Hale,894,895,Victoria line to Tottenham Hale
Tottenham Hale,Seven Sisters,896,897,Victoria line to Seven Sisters
Seven Sisters,Finsbury Park,898,901,Victoria line to Finsbury Park
Finsbury Park,Highbury & Islington,902,903,Victoria line to Highbury & Islington
Highbury & Islington,King's Cross St. Pancras,904,906,Victoria line to King's Cross St.Pancras
King's Cross St. Pancras,Euston,907,908,Northern line or Victoria line to Euston
Euston,Warren Street,908,909,Victoria line or Northern line to Warren Street
Warren Street,Oxford Circus,910,911,Victoria line to Oxford Circus
Oxford Circus,Green Park,911,913,Victoria line to Green Park
Green Park,Victoria,913,915,Victoria line to Victoria
Victoria,Pimlico,915,917,Victoria line to Pimlico
Pimlico,Vauxhall,917,918,Victoria line to Vauxhall
Vauxhall,Stockwell,919,920,Victoria line to Stockwell
Stockwell,Brixton,921,923,Victoria line to Brixton
Walthamstow Central,Blackhorse Road,896,898,Victoria line to Blackhorse Road
Blackhorse Road,Tottenham Hale,898,900,Victoria line to Tottenham Hale
Tottenham Hale,Seven Sisters,900,902,Victoria line to Seven Sisters
Seven Sisters,Finsbury Park,903,906,Victoria line to Finsbury Park
Finsbury Park,Highbury & Islington,906,908,Victoria line to Highbury & Islington
Highbury & Islington,King's Cross St. Pancras,908,911,Victoria line to King's Cross St.Pancras
King's Cross St. Pancras,Euston,911,912,Victoria line or Northern line to Euston
Euston,Warren Street,913,914,Northern line or Victoria line to Warren Street
Warren Street,Oxford Circus,914,915,Victoria line to Oxford Circus
Oxford Circus,Green Park,916,917,Victoria line to Green Park
Green Park,Victoria,918,919,Victoria line to Victoria
Victoria,Pimlico,920,921,Victoria line to Pimlico
Pimlico,Vauxhall,922,923,Victoria line to Vauxhall
Vauxhall,Stockwell,923,925,Victoria line to Stockwell
Stockwell,Brixton,925,927,Victoria line to Brixton
